i_epoch,env_reward,running_reward,training_step,hpwl,cost,epoch_time
0, -661.59, -661.59, 0,  6845523.73,  7419697.96, 2.27
1, -625.92, -658.02, 0,  6479389.76,  7233734.09, 1.23
2, -613.37, -653.55, 0,  6346960.62,  6892518.67, 1.21
3, -613.52, -649.55, 0,  6361490.39,  6982836.64, 1.22
4, -643.78, -648.97, 420,  6661749.93,  7220894.08, 10.88
5, -538.08, -637.88, 420,  5567344.69,  6311672.33, 1.27
6, -615.98, -635.69, 420,  6374181.94,  6927002.46, 1.16
7, -669.83, -639.11, 420,  6930299.85,  7618556.12, 1.15
8, -600.72, -635.27, 420,  6215835.32,  6822765.59, 1.15
9, -567.47, -628.49, 840,  5872807.27,  6493242.93, 10.73
10, -531.97, -618.84, 840,  5504418.49,  6058589.71, 1.30
11, -506.26, -607.58, 840,  5238204.71,  5818230.57, 1.19
12, -500.66, -596.89, 840,  5181421.60,  5739854.30, 1.17
13, -544.53, -591.65, 840,  5637570.64,  6178435.49, 1.17
14, -554.00, -587.89, 1260,  5733264.33,  6313831.59, 10.64
15, -416.05, -570.70, 1260,  4304617.35,  4841183.25, 1.26
16, -434.68, -557.10, 1260,  4497299.21,  5000173.11, 1.16
17, -380.49, -539.44, 1260,  3937685.54,  4502324.39, 1.17
18, -429.44, -528.44, 1260,  4444744.21,  5001662.17, 1.19
19, -446.97, -520.29, 1680,  4624298.58,  5129225.67, 10.90
20, -397.17, -507.98, 1680,  4109745.03,  4584356.79, 1.29
21, -291.71, -486.35, 1680,  3020505.26,  3545207.56, 1.17
22, -356.74, -473.39, 1680,  3690920.37,  4210459.63, 1.17
23, -340.73, -460.12, 1680,  3525695.12,  4037762.50, 1.17
24, -339.10, -448.02, 2100,  3511753.30,  4015415.65, 10.78
25, -231.80, -426.40, 2100,  2401457.78,  2789086.20, 1.28
26, -259.59, -409.72, 2100,  2687290.34,  3094712.42, 1.16
27, -257.81, -394.53, 2100,  2669157.15,  3072009.17, 1.19
28, -234.01, -378.48, 2100,  2420999.02,  2855772.32, 1.20
29, -244.62, -365.09, 2520,  2531120.07,  2946238.46, 10.94
30, -207.86, -349.37, 2520,  2150358.33,  2563801.48, 1.30
31, -216.34, -336.06, 2520,  2240208.37,  2604586.87, 1.21
32, -192.68, -321.73, 2520,  1993827.76,  2381880.44, 1.17
33, -198.90, -309.44, 2520,  2057398.95,  2454911.36, 1.19
34, -201.08, -298.61, 2940,  2082546.21,  2460034.99, 10.83
35, -188.10, -287.56, 2940,  1946308.58,  2299625.45, 1.26
36, -164.34, -275.23, 2940,  1704530.16,  2024256.91, 1.16
37, -177.09, -265.42, 2940,  1831918.38,  2205158.57, 1.19
38, -174.19, -256.30, 2940,  1802870.67,  2157293.19, 1.17
39, -177.05, -248.37, 3360,  1833151.09,  2172903.94, 10.94
40, -140.85, -237.62, 3360,  1457363.55,  1769673.80, 1.31
41, -141.64, -228.02, 3360,  1467551.20,  1745832.46, 1.18
42, -151.43, -220.36, 3360,  1566972.40,  1870081.75, 1.18
43, -136.81, -212.01, 3360,  1415669.58,  1723554.04, 1.16
44, -132.93, -204.10, 3780,  1375392.67,  1661535.12, 10.70
45, -128.57, -196.55, 3780,  1330288.85,  1624138.52, 1.26
46, -125.16, -189.41, 3780,  1295271.37,  1559346.74, 1.15
47, -143.81, -184.85, 3780,  1488062.09,  1729850.51, 1.14
48, -135.20, -179.88, 3780,  1398867.71,  1658965.75, 1.17
49, -125.64, -174.46, 4200,  1300386.52,  1578451.58, 10.89
50, -121.51, -169.16, 4200,  1257221.71,  1523706.80, 1.26
51, -108.13, -163.06, 4200,  1120991.14,  1376047.45, 1.15
52, -117.08, -158.46, 4200,  1211700.33,  1454050.19, 1.16
53, -103.81, -153.00, 4200,  1074028.87,  1302671.39, 1.17
